split,feature,mean_abs_shap
0,q2_z_30_144,0.00817777729822536
0,q2_z_103_150,0.007965691654125057
0,q2_z_29_149,0.007932531209904128
0,q2_z_0_71,0.007876237810034834
0,q2_z_66_71,0.007876092999724122
0,q2_z_25_139,0.007639068496148978
0,q2_z_64_122,0.00724121198014681
0,q2_z_3_94,0.006774888618831927
0,q2_z_34_117,0.006693311877164209
0,q2_z_98_151,0.006684108332258443
0,q2_z_29_97,0.0066805766423892535
0,q2_z_26_35,0.006606400165626218
0,q2_z_35_78,0.006509937430019023
0,q2_z_57_153,0.006482349050505107
0,q2_z_30_141,0.006447597144698052
0,q2_z_30_133,0.006433403522652585
0,q2_z_41_135,0.006368314049729277
0,q2_z_22_124,0.006128759569082354
0,q2_z_3_135,0.006119954302118151
0,q2_z_144_153,0.006046705539620669
0,q2_z_15_149,0.006045980394559469
0,q2_z_150_155,0.006045778582211932
0,q2_z_134_135,0.00604574396773035
0,q2_z_3_124,0.005974117226421191
0,q2_z_97_112,0.005971532843631259
0,q2_z_40_135,0.005708833970721603
0,q2_z_2_135,0.005490965336269267
0,q2_z_60_130,0.005418448955047815
0,q2_z_15_122,0.005410912265780041
0,q2_z_48_91,0.005400186526486211
0,q2_z_64_101,0.005341843946132707
0,q2_z_60_83,0.0053378464378641384
0,q2_z_29_124,0.005336803578979505
0,q2_z_25_28,0.00533672521036378
0,q2_z_26_155,0.005336704738843986
0,q2_z_112_124,0.00522833459054234
0,q2_z_99_124,0.005208925024069126
0,q2_z_28_94,0.005083848516805716
0,q2_z_8_135,0.0050736371484562705
0,q2_z_6_94,0.0049148660631304535
0,q2_z_91_112,0.00485606880282072
0,q2_z_2_18,0.004842208160788856
0,q2_z_3_111,0.004828435919643222
0,q2_z_15_124,0.004777704638031781
0,q2_z_135_154,0.004776191280099715
0,q2_z_94_116,0.004757778643789
0,q2_z_112_155,0.004729441199363658
0,q2_z_25_116,0.004713032893793578
0,q2_z_34_126,0.004709344907822472
0,q2_z_91_118,0.004707404088296434
0,q2_z_111_139,0.00470522354366553
0,q2_z_58_112,0.004702983552178294
0,q2_z_60_144,0.004702320765818429
0,q2_z_29_112,0.004702277561228697
0,q2_z_60_124,0.004702017903118967
0,cl_67,0.004701949727283936
0,q2_z_96_99,0.004701869861953696
0,q2_z_60_119,0.004701868178188882
0,q2_z_94_155,0.004701867637360475
0,q2_z_111_119,0.004701867308032119
0,q2_z_99_126,0.004701867081912018
0,q2_z_111_149,0.004701867056969558
0,q2_z_22_111,0.0045583548202041396
0,q2_z_26_91,0.004459143173232074
0,q2_z_124_132,0.0044180378512278795
0,q2_z_6_91,0.004216450229317142
0,q2_z_111_117,0.004201684538980073
0,q2_z_35_60,0.0041658024683647625
0,q2_z_58_135,0.004147488589837559
0,q2_z_124_135,0.004126284787312398
0,q2_z_112_135,0.004102734982396906
0,q2_z_13_29,0.004086537982608019
0,q2_z_50_135,0.004082986522929428
0,q2_z_7_26,0.004081462232865238
0,q2_z_13_123,0.004080084128668661
0,q2_z_13_58,0.004078838092799618
0,q2_z_99_111,0.004077711388852866
0,q2_z_105_135,0.004074184148317882
0,q2_z_91_144,0.004069661057040143
0,q2_z_8_106,0.004069410895576351
0,q2_z_40_93,0.004068626942463345
0,q2_z_48_111,0.004068213954883998
0,q2_z_8_94,0.004067749603073626
0,q2_z_18_98,0.004067324935230386
0,q2_z_22_94,0.004067272202537843
0,q2_z_13_26,0.004067092772248292
