AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.6444444444444444,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC,Q_1body,,,
0.5800000000000001,0.6590909090909092,0.7083333333333333,0.65,0.7333333333333333,QC,Q_2body,,,
0.49999999999999994,0.4,0.4,0.4,0.4666666666666667,QC,Q_2body,,,
0.56,0.55,0.55,0.55,0.6,QC,Q_2body,,,
0.45000000000000007,0.65,0.65,0.65,0.7142857142857143,QC,Q_2body,,,
0.39999999999999997,0.3333333333333333,0.3181818181818182,0.35,0.5,QC,Q_2body,,,
0.775,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_2body,,,
0.625,0.5333333333333333,0.5416666666666666,0.55,0.5714285714285714,QC,Q_2body,,,
0.4888888888888888,0.4269005847953216,0.425,0.43333333333333335,0.5,QC,Q_2body,,,
0.5555555555555555,0.4269005847953216,0.425,0.43333333333333335,0.5,QC,Q_2body,,,
0.6888888888888889,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5714285714285714,QC,Q_2body,,,
0.5555555555555556,0.391304347826087,0.32142857142857145,0.5,0.6428571428571429,QC,Q_2body,,,
0.5111111111111111,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC,Q_2body,,,
0.48,0.34782608695652173,0.3076923076923077,0.4,0.5333333333333333,QC,Q_2body,,,
0.42000000000000004,0.4,0.4,0.4,0.4666666666666667,QC,Q_2body,,,
0.48,0.4444444444444444,0.4431818181818182,0.44999999999999996,0.5333333333333333,QC,Q_2body,,,
0.55,0.475,0.475,0.475,0.5714285714285714,QC,Q_2body,,,
0.85,0.65,0.65,0.65,0.7142857142857143,QC,Q_2body,,,
0.2,0.3333333333333333,0.3181818181818182,0.35,0.5,QC,Q_2body,,,
0.44999999999999996,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_2body,,,
0.6444444444444444,0.825,0.9090909090909092,0.8,0.8571428571428571,QC,Q_2body,,,
0.4444444444444444,0.4269005847953216,0.425,0.43333333333333335,0.5,QC,Q_2body,,,
0.7777777777777777,0.475,0.48484848484848486,0.48888888888888893,0.5714285714285714,QC,Q_2body,,,
0.7111111111111111,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC,Q_2body,,,
0.5777777777777777,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC,Q_2body,,,
0.6,0.48863636363636365,0.5,0.5,0.6,QC,Q_2body,,,
0.54,0.3181818181818182,0.2916666666666667,0.35,0.4666666666666667,QC,Q_2body,,,
0.8,0.7222222222222222,0.7232142857142857,0.75,0.7333333333333333,QC,Q_2body,,,
0.75,0.65,0.65,0.65,0.7142857142857143,QC,Q_2body,,,
0.375,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_2body,,,
0.25,0.391304347826087,0.34615384615384615,0.45,0.6428571428571429,QC,Q_2body,,,
0.25,0.4166666666666667,0.35714285714285715,0.5,0.7142857142857143,QC,Q_2body,,,
0.3333333333333333,0.475,0.48484848484848486,0.48888888888888893,0.5714285714285714,QC,Q_2body,,,
0.6444444444444444,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC,Q_2body,,,
0.4888888888888889,0.475,0.48484848484848486,0.48888888888888893,0.5714285714285714,QC,Q_2body,,,
0.711111111111111,0.475,0.48484848484848486,0.48888888888888893,0.5714285714285714,QC,Q_2body,,,
0.3555555555555555,0.3262032085561497,0.3333333333333333,0.3222222222222222,0.35714285714285715,QC,Q_2body,,,
0.6,0.49760765550239233,0.5,0.5,0.5333333333333333,QC,Q_2body,,,
0.6000000000000001,0.5341614906832298,0.5961538461538461,0.55,0.6666666666666666,QC,Q_2body,,,
0.62,0.5341614906832298,0.5961538461538461,0.55,0.6666666666666666,QC,Q_2body,,,
0.39999999999999997,0.36363636363636365,0.3333333333333333,0.4,0.5714285714285714,QC,Q_2body,,,
0.625,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_2body,,,
0.775,0.7543859649122806,0.7444444444444445,0.775,0.7857142857142857,QC,Q_2body,,,
0.15000000000000002,0.3333333333333333,0.3181818181818182,0.35,0.5,QC,Q_2body,,,
0.7777777777777778,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_2body,,,
0.5777777777777777,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC,Q_2body,,,
0.6222222222222222,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_2body,,,
0.6888888888888889,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC,Q_2body,,,
0.5777777777777777,0.3333333333333333,0.2916666666666667,0.3888888888888889,0.5,QC,Q_2body,,,
