M,fidelity
259,0.9489667311599226
260,0.9278444855328488
261,0.9322473952531385
262,0.954669888350869
263,0.9786136847038801
264,0.9415687651880601
265,0.9721369225935398
266,0.9864264465072068
267,0.9490766213833848
268,0.9790983970071426
269,0.971632070915641
270,0.9826785099712281
271,0.9687177541281793
272,0.9806141662540382
273,0.9678704308481827
274,0.9935603040308421
275,0.9691763593287257
276,0.9732896445408581
277,0.9951581267945062
278,0.9745437366180626
279,0.9737363772817441
280,0.9928882349931694
281,0.9893936493102273
282,0.9801270807841749
283,0.9802812696743767
284,0.9806278129401951
285,0.9832719262426937
286,0.9902334214372366
287,0.9904903799619937
288,0.9928978241930762
289,0.9879291812847695
290,0.9916248694090511
291,0.9902460625158788
292,0.9922707572150367
293,0.9900871549649095
294,0.9907398826603043
295,0.9850459582650285
296,0.974979410984981
297,0.9872903057532768
298,0.9922292348140198
299,0.9854745776980867
300,0.9882684616950973
301,0.9926888669180483
302,0.992807029434548
303,0.9897809101149323
304,0.9889626385046387
305,0.9932703472882023
306,0.9912893833739462
307,0.9927121046528534
308,0.9942849518330419
309,0.9888950699122627
310,0.9930704801815371
311,0.9936903704166542
312,0.9906078208129978
313,0.997471006216765
314,0.9917253565710378
315,0.9887776972748527
316,0.9952845164898209
317,0.9921259246312985
318,0.9828007652451255
319,0.9800724784136949
320,0.9665446643277495
321,0.9755539248415437
322,0.9846571429850437
323,0.979160578208753
324,0.9891807882376804
325,0.9953778717452605
326,0.9905602245512303
327,0.9875194592122905
328,0.9763392559259101
329,0.9845105544720929
330,0.9955455697701632
331,0.9924212475136449
332,0.9853426862917203
333,0.9839864902563638
334,0.9904026430252659
335,0.9963816750095263
336,0.9876451183173883
337,0.9888192543560479
338,0.9973013397992149
339,0.9921501618541702
340,0.9854815881592106
341,0.9914203138089556
342,0.9956307927785892
343,0.9880886286355797
344,0.9898299481495324
345,0.9964133394899485
346,0.9942914555810265
347,0.991950322662334
348,0.9925813372594205
349,0.9937530497491217
350,0.9950532381418563
351,0.9901987855950678
352,0.993198154313455
353,0.9943964175857544
354,0.9971835314307412
355,0.989455458004386
356,0.9951118999402426
357,0.9962836041692179
358,0.9925519535906571
359,0.994890147883584
360,0.9948023421117215
361,0.9930544042707848
362,0.9960840056268531
363,0.9922044659614258
364,0.9931628194497917
365,0.995807641103496
366,0.9925944204957363
367,0.9937379584663454
368,0.9923746558067577
369,0.9933733681718268
370,0.9959628165367382
371,0.9922081569543213
372,0.9936420638955582
373,0.9950568567134321
374,0.9938256621748872
375,0.9940233970284365
376,0.9926576425487074
377,0.9950942843385875
378,0.996094392752733
379,0.9927039192997658
380,0.9934489162353316
381,0.9955046939798093
382,0.993649900203455
383,0.995270806771296
384,0.994156522094375
385,0.9903322698143181
386,0.988065689676464
387,0.9783971133610504
388,0.9648817821127207
389,0.9509644296934564
390,0.9364577346767055
391,0.9300252765394272
392,0.9397673206147261
393,0.9693751580897522
394,0.9938389751915416
395,0.9846943899951638
396,0.9589536464039372
397,0.9567558441464491
398,0.981385458475157
399,0.9924246972880113
400,0.9698835409050399
401,0.9646944548464127
402,0.9907287579060028
403,0.9823248130124289
404,0.9675548737471039
405,0.9895125914921373
406,0.9851163344742068
407,0.9699593703166798
408,0.9920990933805761
409,0.9808307432605124
410,0.977914559799347
411,0.9917022807107702
412,0.9741532562583505
413,0.9917020243519564
414,0.981613068296989
415,0.9842306072194872
416,0.986539755296082
